header	position	frame	coding
MN908947	47	3	0
MN908947	47	-3	0
MN908947	48	1	0
MN908947	48	-1	0
MN908947	49	2	0
MN908947	49	-2	0
MN908947	50	3	0
MN908947	50	-3	0
MN908947	51	1	0
MN908947	51	-1	0
MN908947	52	2	0
MN908947	52	-2	0
MN908947	53	3	0
MN908947	53	-3	0
MN908947	54	1	0
MN908947	54	-1	0
MN908947	55	2	0
MN908947	55	-2	0
MN908947	56	3	0
MN908947	56	-3	0
MN908947	57	1	0
MN908947	57	-1	0
MN908947	58	2	0
MN908947	58	-2	0
MN908947	59	3	0
MN908947	59	-3	0
MN908947	60	1	0
MN908947	60	-1	0
MN908947	61	2	0
MN908947	61	-2	0
MN908947	62	3	0
MN908947	62	-3	0
MN908947	63	1	0
MN908947	63	-1	0
MN908947	64	2	0
MN908947	64	-2	0
MN908947	65	3	0
MN908947	65	-3	0
MN908947	66	1	0
MN908947	66	-1	0
MN908947	67	2	0
MN908947	67	-2	0
MN908947	68	3	0
MN908947	68	-3	0
MN908947	69	1	0
MN908947	69	-1	0
MN908947	70	2	0
MN908947	70	-2	0
MN908947	71	3	0
MN908947	71	-3	0
MN908947	72	1	0
MN908947	72	-1	0
MN908947	73	2	0
MN908947	73	-2	0
MN908947	74	3	0
MN908947	74	-3	0
MN908947	75	1	0
MN908947	75	-1	0
MN908947	76	2	0
MN908947	76	-2	0
MN908947	77	3	0
MN908947	77	-3	0
MN908947	78	1	0
MN908947	78	-1	0
MN908947	79	2	0
MN908947	79	-2	0
MN908947	80	3	0
MN908947	80	-3	0
MN908947	81	1	0
MN908947	81	-1	0
MN908947	82	2	0
MN908947	82	-2	0
MN908947	83	3	0
MN908947	83	-3	0
MN908947	84	1	0
MN908947	84	-1	0
MN908947	85	2	0
MN908947	85	-2	0
MN908947	86	3	0
MN908947	86	-3	0
MN908947	87	1	0
MN908947	87	-1	0
MN908947	88	2	0
MN908947	88	-2	0
MN908947	89	3	0
MN908947	89	-3	0
MN908947	90	1	0
MN908947	90	-1	0
MN908947	91	2	0
MN908947	91	-2	0
MN908947	92	3	0
MN908947	92	-3	0
MN908947	93	1	0
MN908947	93	-1	0
MN908947	94	2	0
MN908947	94	-2	0
MN908947	95	3	0
MN908947	95	-3	0
MN908947	96	1	0
MN908947	96	-1	0
MN908947	97	2	0
MN908947	97	-2	0
MN908947	98	3	0
MN908947	98	-3	0
MN908947	99	1	0
MN908947	99	-1	0
MN908947	100	2	0
MN908947	100	-2	0
MN908947	101	3	0
MN908947	101	-3	0
MN908947	102	1	0
MN908947	102	-1	0
MN908947	103	2	0
MN908947	103	-2	0
MN908947	104	3	0
MN908947	104	-3	0
MN908947	105	1	0
MN908947	105	-1	0
MN908947	106	2	0
MN908947	106	-2	0
MN908947	107	3	0
MN908947	107	-3	0
MN908947	108	1	0
MN908947	108	-1	0
MN908947	109	2	0
MN908947	109	-2	0
MN908947	110	3	0
MN908947	110	-3	0
MN908947	111	1	0
MN908947	111	-1	0
MN908947	112	2	0
MN908947	112	-2	0
MN908947	113	3	0
MN908947	113	-3	0
MN908947	114	1	0
MN908947	114	-1	0
MN908947	115	2	0
MN908947	115	-2	0
MN908947	116	3	0
MN908947	116	-3	0
MN908947	117	1	0
MN908947	117	-1	0
MN908947	118	2	0
MN908947	118	-2	0
MN908947	119	3	0
MN908947	119	-3	0
MN908947	120	1	0
MN908947	120	-1	0
MN908947	121	2	0
MN908947	121	-2	0
MN908947	122	3	0
MN908947	122	-3	0
MN908947	123	1	0
MN908947	123	-1	0
MN908947	124	2	0
MN908947	124	-2	0
MN908947	125	3	0
MN908947	125	-3	0
MN908947	126	1	0
MN908947	126	-1	0
MN908947	127	2	0
MN908947	127	-2	0
MN908947	128	3	0
MN908947	128	-3	0
MN908947	129	1	0
MN908947	129	-1	0
MN908947	130	2	0
MN908947	130	-2	0
MN908947	131	3	0
MN908947	131	-3	0
MN908947	132	1	0
MN908947	132	-1	0
MN908947	133	2	0
MN908947	133	-2	0
MN908947	134	3	0
MN908947	134	-3	0
MN908947	135	1	0
MN908947	135	-1	0
MN908947	136	2	0
MN908947	136	-2	0
MN908947	137	3	0
MN908947	137	-3	0
MN908947	138	1	0
MN908947	138	-1	0
MN908947	139	2	0
MN908947	139	-2	0
MN908947	140	3	0
MN908947	140	-3	0
MN908947	141	1	0
MN908947	141	-1	0
MN908947	142	2	0
MN908947	142	-2	0
MN908947	143	3	0
MN908947	143	-3	0
MN908947	144	1	0
MN908947	144	-1	0
MN908947	145	2	0
MN908947	145	-2	0
MN908947	146	3	0
MN908947	146	-3	0
MN908947	147	1	0
MN908947	147	-1	0
MN908947	148	2	0
MN908947	148	-2	0
MN908947	149	3	0
MN908947	149	-3	0
MN908947	150	1	0
MN908947	150	-1	0
MN908947	151	2	0
MN908947	151	-2	0
MN908947	152	3	0
MN908947	152	-3	0
MN908947	153	1	0
MN908947	153	-1	0
MN908947	154	2	0
MN908947	154	-2	0
MN908947	155	3	0
MN908947	155	-3	0
MN908947	156	1	0
MN908947	156	-1	0
MN908947	157	2	0
MN908947	157	-2	0
MN908947	158	3	0
MN908947	158	-3	0
MN908947	159	1	0
MN908947	159	-1	0
MN908947	160	2	0
MN908947	160	-2	0
MN908947	161	3	0
MN908947	161	-3	0
MN908947	162	1	0
MN908947	162	-1	-1
MN908947	163	2	0
MN908947	163	-2	0
MN908947	164	3	0
MN908947	164	-3	0
MN908947	165	1	0
MN908947	165	-1	-1
MN908947	166	2	0
MN908947	166	-2	0
MN908947	167	3	0
MN908947	167	-3	0
MN908947	168	1	0
MN908947	168	-1	-1
MN908947	169	2	0
MN908947	169	-2	0
MN908947	170	3	0
MN908947	170	-3	0
MN908947	171	1	0
MN908947	171	-1	-1
MN908947	172	2	0
MN908947	172	-2	0
MN908947	173	3	0
MN908947	173	-3	0
MN908947	174	1	0
MN908947	174	-1	-1
MN908947	175	2	0
MN908947	175	-2	0
MN908947	176	3	1
MN908947	176	-3	0
MN908947	177	1	0
MN908947	177	-1	-1
MN908947	178	2	0
MN908947	178	-2	0
MN908947	179	3	1
MN908947	179	-3	0
MN908947	180	1	0
MN908947	180	-1	-1
MN908947	181	2	0
MN908947	181	-2	0
MN908947	182	3	1
MN908947	182	-3	0
MN908947	183	1	0
MN908947	183	-1	-1
MN908947	184	2	0
MN908947	184	-2	0
MN908947	185	3	1
MN908947	185	-3	0
MN908947	186	1	0
MN908947	186	-1	-1
MN908947	187	2	0
MN908947	187	-2	0
MN908947	188	3	1
MN908947	188	-3	0
MN908947	189	1	0
MN908947	189	-1	-1
MN908947	190	2	0
MN908947	190	-2	0
MN908947	191	3	1
MN908947	191	-3	0
MN908947	192	1	0
MN908947	192	-1	-1
MN908947	193	2	0
MN908947	193	-2	0
MN908947	194	3	1
MN908947	194	-3	0
MN908947	195	1	0
MN908947	195	-1	-1
MN908947	196	2	0
MN908947	196	-2	0
MN908947	197	3	1
MN908947	197	-3	0
MN908947	198	1	0
MN908947	198	-1	-1
MN908947	199	2	0
MN908947	199	-2	0
MN908947	200	3	1
MN908947	200	-3	0
MN908947	201	1	0
MN908947	201	-1	-1
MN908947	202	2	0
MN908947	202	-2	0
MN908947	203	3	1
MN908947	203	-3	0
MN908947	204	1	0
MN908947	204	-1	-1
MN908947	205	2	0
MN908947	205	-2	0
MN908947	206	3	1
MN908947	206	-3	0
MN908947	207	1	0
MN908947	207	-1	-1
MN908947	208	2	0
MN908947	208	-2	0
MN908947	209	3	1
MN908947	209	-3	0
MN908947	210	1	0
MN908947	210	-1	-1
MN908947	211	2	0
MN908947	211	-2	0
MN908947	212	3	1
MN908947	212	-3	0
MN908947	213	1	0
MN908947	213	-1	-1
MN908947	214	2	0
MN908947	214	-2	0
MN908947	215	3	1
MN908947	215	-3	0
MN908947	216	1	0
MN908947	216	-1	-1
MN908947	217	2	0
MN908947	217	-2	0
MN908947	218	3	1
MN908947	218	-3	0
MN908947	219	1	0
MN908947	219	-1	-1
MN908947	220	2	0
MN908947	220	-2	0
MN908947	221	3	1
MN908947	221	-3	0
MN908947	222	1	0
MN908947	222	-1	-1
MN908947	223	2	0
MN908947	223	-2	0
MN908947	224	3	1
MN908947	224	-3	0
MN908947	225	1	0
MN908947	225	-1	-1
MN908947	226	2	0
MN908947	226	-2	0
MN908947	227	3	1
MN908947	227	-3	0
MN908947	228	1	0
MN908947	228	-1	-1
MN908947	229	2	0
MN908947	229	-2	0
MN908947	230	3	1
MN908947	230	-3	0
MN908947	231	1	0
MN908947	231	-1	-1
MN908947	232	2	0
MN908947	232	-2	0
MN908947	233	3	1
MN908947	233	-3	0
MN908947	234	1	0
MN908947	234	-1	-1
MN908947	235	2	0
MN908947	235	-2	0
MN908947	236	3	1
MN908947	236	-3	0
MN908947	237	1	0
MN908947	237	-1	-1
MN908947	238	2	0
MN908947	238	-2	0
MN908947	239	3	1
MN908947	239	-3	0
MN908947	240	1	0
MN908947	240	-1	-1
MN908947	241	2	0
MN908947	241	-2	0
MN908947	242	3	1
MN908947	242	-3	0
MN908947	243	1	0
MN908947	243	-1	-1
MN908947	244	2	0
MN908947	244	-2	0
MN908947	245	3	1
MN908947	245	-3	0
MN908947	246	1	0
MN908947	246	-1	0
MN908947	247	2	0
MN908947	247	-2	0
MN908947	248	3	1
MN908947	248	-3	0
MN908947	249	1	0
MN908947	249	-1	0
MN908947	250	2	0
MN908947	250	-2	0
MN908947	251	3	1
MN908947	251	-3	0
MN908947	252	1	0
MN908947	252	-1	0
MN908947	253	2	0
MN908947	253	-2	0
MN908947	254	3	1
MN908947	254	-3	0
MN908947	255	1	0
MN908947	255	-1	0
MN908947	256	2	0
MN908947	256	-2	0
MN908947	257	3	1
MN908947	257	-3	0
MN908947	258	1	0
MN908947	258	-1	0
MN908947	259	2	0
MN908947	259	-2	0
MN908947	260	3	1
MN908947	260	-3	0
MN908947	261	1	0
MN908947	261	-1	0
MN908947	262	2	0
MN908947	262	-2	0
MN908947	263	3	1
MN908947	263	-3	0
MN908947	264	1	0
MN908947	264	-1	0
MN908947	265	2	0
MN908947	265	-2	0
MN908947	266	3	1
MN908947	266	-3	0
MN908947	267	1	0
MN908947	267	-1	0
MN908947	268	2	0
MN908947	268	-2	0
MN908947	269	3	1
MN908947	269	-3	0
MN908947	270	1	0
MN908947	270	-1	0
MN908947	271	2	0
MN908947	271	-2	0
MN908947	272	3	1
MN908947	272	-3	0
MN908947	273	1	0
MN908947	273	-1	0
MN908947	274	2	0
MN908947	274	-2	0
MN908947	275	3	1
MN908947	275	-3	0
MN908947	276	1	0
MN908947	276	-1	0
MN908947	277	2	0
MN908947	277	-2	0
MN908947	278	3	1
MN908947	278	-3	0
MN908947	279	1	0
MN908947	279	-1	0
MN908947	280	2	0
MN908947	280	-2	0
MN908947	281	3	1
MN908947	281	-3	0
MN908947	282	1	0
MN908947	282	-1	0
MN908947	283	2	0
MN908947	283	-2	0
MN908947	284	3	1
MN908947	284	-3	0
MN908947	285	1	0
MN908947	285	-1	0
MN908947	286	2	0
MN908947	286	-2	0
MN908947	287	3	1
MN908947	287	-3	0
MN908947	288	1	0
MN908947	288	-1	0
MN908947	289	2	0
MN908947	289	-2	0
MN908947	290	3	1
MN908947	290	-3	0
MN908947	291	1	0
MN908947	291	-1	0
MN908947	292	2	0
MN908947	292	-2	0
MN908947	293	3	1
MN908947	293	-3	0
MN908947	294	1	0
MN908947	294	-1	0
MN908947	295	2	0
MN908947	295	-2	0
MN908947	296	3	1
MN908947	296	-3	0
MN908947	297	1	0
MN908947	297	-1	0
MN908947	298	2	0
MN908947	298	-2	0
MN908947	299	3	1
MN908947	299	-3	0
MN908947	300	1	0
MN908947	300	-1	0
MN908947	301	2	0
MN908947	301	-2	0
MN908947	302	3	1
MN908947	302	-3	0
MN908947	303	1	0
MN908947	303	-1	0
MN908947	304	2	0
MN908947	304	-2	0
MN908947	305	3	1
MN908947	305	-3	0
MN908947	306	1	0
MN908947	306	-1	0
MN908947	307	2	0
MN908947	307	-2	0
MN908947	308	3	1
MN908947	308	-3	0
MN908947	309	1	0
MN908947	309	-1	0
MN908947	310	2	0
MN908947	310	-2	0
MN908947	311	3	1
MN908947	311	-3	0
MN908947	312	1	0
MN908947	312	-1	0
MN908947	313	2	0
MN908947	313	-2	0
MN908947	314	3	1
MN908947	314	-3	0
MN908947	315	1	0
MN908947	315	-1	0
MN908947	316	2	0
MN908947	316	-2	0
MN908947	317	3	1
MN908947	317	-3	0
MN908947	318	1	0
MN908947	318	-1	0
MN908947	319	2	0
MN908947	319	-2	0
MN908947	320	3	1
MN908947	320	-3	0
MN908947	321	1	0
MN908947	321	-1	0
MN908947	322	2	0
MN908947	322	-2	0
MN908947	323	3	1
MN908947	323	-3	0
MN908947	324	1	0
MN908947	324	-1	0
MN908947	325	2	0
MN908947	325	-2	0
MN908947	326	3	1
MN908947	326	-3	0
MN908947	327	1	0
MN908947	327	-1	0
MN908947	328	2	0
MN908947	328	-2	0
MN908947	329	3	1
MN908947	329	-3	0
MN908947	330	1	0
MN908947	330	-1	0
MN908947	331	2	0
MN908947	331	-2	0
MN908947	332	3	1
MN908947	332	-3	0
MN908947	333	1	0
MN908947	333	-1	0
MN908947	334	2	0
MN908947	334	-2	0
MN908947	335	3	1
MN908947	335	-3	0
MN908947	336	1	0
MN908947	336	-1	0
MN908947	337	2	0
MN908947	337	-2	0
MN908947	338	3	1
MN908947	338	-3	0
MN908947	339	1	0
MN908947	339	-1	0
MN908947	340	2	0
MN908947	340	-2	0
MN908947	341	3	1
MN908947	341	-3	0
MN908947	342	1	0
MN908947	342	-1	0
MN908947	343	2	0
MN908947	343	-2	0
MN908947	344	3	1
MN908947	344	-3	0
MN908947	345	1	0
MN908947	345	-1	0
MN908947	346	2	0
MN908947	346	-2	0
MN908947	347	3	1
MN908947	347	-3	0
MN908947	348	1	0
MN908947	348	-1	0
MN908947	349	2	0
MN908947	349	-2	0
MN908947	350	3	1
MN908947	350	-3	0
MN908947	351	1	0
MN908947	351	-1	0
MN908947	352	2	0
MN908947	352	-2	0
MN908947	353	3	1
MN908947	353	-3	0
MN908947	354	1	0
MN908947	354	-1	0
MN908947	355	2	0
MN908947	355	-2	0
MN908947	356	3	1
MN908947	356	-3	0
MN908947	357	1	0
MN908947	357	-1	0
MN908947	358	2	0
MN908947	358	-2	0
MN908947	359	3	1
MN908947	359	-3	0
MN908947	360	1	0
MN908947	360	-1	0
MN908947	361	2	0
MN908947	361	-2	0
MN908947	362	3	1
MN908947	362	-3	0
MN908947	363	1	0
MN908947	363	-1	0
MN908947	364	2	0
MN908947	364	-2	0
MN908947	365	3	1
MN908947	365	-3	0
MN908947	366	1	0
MN908947	366	-1	0
MN908947	367	2	0
MN908947	367	-2	0
MN908947	368	3	1
MN908947	368	-3	0
MN908947	369	1	0
MN908947	369	-1	0
MN908947	370	2	0
MN908947	370	-2	0
MN908947	371	3	1
MN908947	371	-3	0
MN908947	372	1	0
MN908947	372	-1	0
MN908947	373	2	0
MN908947	373	-2	0
MN908947	374	3	1
MN908947	374	-3	0
MN908947	375	1	0
MN908947	375	-1	0
MN908947	376	2	0
MN908947	376	-2	0
MN908947	377	3	1
MN908947	377	-3	0
MN908947	378	1	0
MN908947	378	-1	0
MN908947	379	2	0
MN908947	379	-2	0
MN908947	380	3	1
MN908947	380	-3	0
MN908947	381	1	0
MN908947	381	-1	0
MN908947	382	2	0
MN908947	382	-2	0
MN908947	383	3	1
MN908947	383	-3	0
MN908947	384	1	0
MN908947	384	-1	0
MN908947	385	2	0
MN908947	385	-2	0
MN908947	386	3	1
MN908947	386	-3	0
MN908947	387	1	0
MN908947	387	-1	0
MN908947	388	2	0
MN908947	388	-2	0
MN908947	389	3	1
MN908947	389	-3	0
MN908947	390	1	0
MN908947	390	-1	0
MN908947	391	2	0
MN908947	391	-2	0
MN908947	392	3	1
MN908947	392	-3	0
MN908947	393	1	0
MN908947	393	-1	0
MN908947	394	2	0
MN908947	394	-2	0
MN908947	395	3	1
MN908947	395	-3	0
MN908947	396	1	0
MN908947	396	-1	0
MN908947	397	2	0
MN908947	397	-2	0
MN908947	398	3	1
MN908947	398	-3	0
MN908947	399	1	0
MN908947	399	-1	0
MN908947	400	2	0
MN908947	400	-2	0
MN908947	401	3	1
MN908947	401	-3	0
MN908947	402	1	0
MN908947	402	-1	0
MN908947	403	2	0
MN908947	403	-2	0
MN908947	404	3	1
MN908947	404	-3	0
MN908947	405	1	0
MN908947	405	-1	0
MN908947	406	2	0
MN908947	406	-2	0
MN908947	407	3	1
MN908947	407	-3	0
MN908947	408	1	0
MN908947	408	-1	0
MN908947	409	2	0
MN908947	409	-2	0
MN908947	410	3	1
MN908947	410	-3	0
MN908947	411	1	0
MN908947	411	-1	0
MN908947	412	2	0
MN908947	412	-2	0
MN908947	413	3	1
MN908947	413	-3	0
MN908947	414	1	0
MN908947	414	-1	0
MN908947	415	2	0
MN908947	415	-2	0
MN908947	416	3	1
MN908947	416	-3	0
MN908947	417	1	0
MN908947	417	-1	0
MN908947	418	2	0
MN908947	418	-2	0
MN908947	419	3	1
MN908947	419	-3	0
MN908947	420	1	0
MN908947	420	-1	0
MN908947	421	2	0
MN908947	421	-2	0
MN908947	422	3	1
MN908947	422	-3	0
MN908947	423	1	0
MN908947	423	-1	0
MN908947	424	2	0
MN908947	424	-2	0
MN908947	425	3	1
MN908947	425	-3	0
MN908947	426	1	0
MN908947	426	-1	0
MN908947	427	2	0
MN908947	427	-2	0
MN908947	428	3	1
MN908947	428	-3	0
MN908947	429	1	0
MN908947	429	-1	0
MN908947	430	2	0
MN908947	430	-2	0
MN908947	431	3	1
MN908947	431	-3	0
MN908947	432	1	0
MN908947	432	-1	0
MN908947	433	2	0
MN908947	433	-2	0
MN908947	434	3	1
MN908947	434	-3	0
MN908947	435	1	0
MN908947	435	-1	0
MN908947	436	2	0
MN908947	436	-2	0
MN908947	437	3	1
MN908947	437	-3	0
MN908947	438	1	0
MN908947	438	-1	0
MN908947	439	2	0
MN908947	439	-2	0
MN908947	440	3	1
MN908947	440	-3	0
MN908947	441	1	0
MN908947	441	-1	0
MN908947	442	2	0
MN908947	442	-2	0
MN908947	443	3	1
MN908947	443	-3	0
MN908947	444	1	0
MN908947	444	-1	0
MN908947	445	2	0
MN908947	445	-2	0
MN908947	446	3	1
MN908947	446	-3	0
MN908947	447	1	0
MN908947	447	-1	0
MN908947	448	2	0
MN908947	448	-2	0
MN908947	449	3	1
MN908947	449	-3	0
MN908947	450	1	0
MN908947	450	-1	0
MN908947	451	2	0
MN908947	451	-2	0
MN908947	452	3	1
MN908947	452	-3	0
MN908947	453	1	0
MN908947	453	-1	0
MN908947	454	2	0
MN908947	454	-2	0
MN908947	455	3	1
MN908947	455	-3	0
MN908947	456	1	0
MN908947	456	-1	0
MN908947	457	2	0
MN908947	457	-2	0
MN908947	458	3	1
MN908947	458	-3	0
MN908947	459	1	0
MN908947	459	-1	0
MN908947	460	2	0
MN908947	460	-2	0
MN908947	461	3	1
MN908947	461	-3	0
MN908947	462	1	0
MN908947	462	-1	0
MN908947	463	2	0
MN908947	463	-2	0
MN908947	464	3	1
MN908947	464	-3	0
MN908947	465	1	0
MN908947	465	-1	0
MN908947	466	2	0
MN908947	466	-2	0
MN908947	467	3	1
MN908947	467	-3	0
MN908947	468	1	0
MN908947	468	-1	0
MN908947	469	2	0
MN908947	469	-2	0
MN908947	470	3	1
MN908947	470	-3	0
MN908947	471	1	0
MN908947	471	-1	0
MN908947	472	2	0
MN908947	472	-2	0
MN908947	473	3	1
MN908947	473	-3	0
MN908947	474	1	0
MN908947	474	-1	0
MN908947	475	2	0
MN908947	475	-2	0
MN908947	476	3	1
MN908947	476	-3	0
MN908947	477	1	0
MN908947	477	-1	0
MN908947	478	2	0
MN908947	478	-2	0
MN908947	479	3	1
MN908947	479	-3	0
MN908947	480	1	0
MN908947	480	-1	0
MN908947	481	2	0
MN908947	481	-2	0
MN908947	482	3	1
MN908947	482	-3	0
MN908947	483	1	0
MN908947	483	-1	0
MN908947	484	2	0
MN908947	484	-2	0
MN908947	485	3	1
MN908947	485	-3	0
MN908947	486	1	0
MN908947	486	-1	0
MN908947	487	2	0
MN908947	487	-2	0
MN908947	488	3	1
MN908947	488	-3	0
MN908947	489	1	0
MN908947	489	-1	0
MN908947	490	2	0
MN908947	490	-2	0
MN908947	491	3	1
MN908947	491	-3	0
MN908947	492	1	0
MN908947	492	-1	0
MN908947	493	2	0
MN908947	493	-2	0
MN908947	494	3	1
MN908947	494	-3	0
MN908947	495	1	0
MN908947	495	-1	0
MN908947	496	2	0
MN908947	496	-2	0
MN908947	497	3	1
MN908947	497	-3	0
MN908947	498	1	0
MN908947	498	-1	0
MN908947	499	2	0
MN908947	499	-2	0
MN908947	500	3	1
MN908947	500	-3	0
MN908947	501	1	0
MN908947	501	-1	0
MN908947	502	2	0
MN908947	502	-2	0
MN908947	503	3	1
MN908947	503	-3	0
MN908947	504	1	0
MN908947	504	-1	0
MN908947	505	2	0
MN908947	505	-2	0
MN908947	506	3	1
MN908947	506	-3	0
MN908947	507	1	0
MN908947	507	-1	0
MN908947	508	2	0
MN908947	508	-2	0
MN908947	509	3	1
MN908947	509	-3	0
MN908947	510	1	0
MN908947	510	-1	0
MN908947	511	2	0
MN908947	511	-2	0
MN908947	512	3	1
MN908947	512	-3	0
MN908947	513	1	0
MN908947	513	-1	0
MN908947	514	2	0
MN908947	514	-2	0
MN908947	515	3	1
MN908947	515	-3	0
MN908947	516	1	0
MN908947	516	-1	0
MN908947	517	2	0
MN908947	517	-2	0
MN908947	518	3	1
MN908947	518	-3	0
MN908947	519	1	0
MN908947	519	-1	0
MN908947	520	2	0
MN908947	520	-2	0
MN908947	521	3	1
MN908947	521	-3	0
MN908947	522	1	0
MN908947	522	-1	0
MN908947	523	2	0
MN908947	523	-2	0
MN908947	524	3	1
MN908947	524	-3	0
MN908947	525	1	0
MN908947	525	-1	0
MN908947	526	2	0
MN908947	526	-2	0
MN908947	527	3	1
MN908947	527	-3	0
MN908947	528	1	0
MN908947	528	-1	0
MN908947	529	2	0
MN908947	529	-2	0
MN908947	530	3	1
MN908947	530	-3	0
MN908947	531	1	0
MN908947	531	-1	0
MN908947	532	2	0
MN908947	532	-2	0
MN908947	533	3	1
MN908947	533	-3	0
MN908947	534	1	0
MN908947	534	-1	-1
MN908947	535	2	0
MN908947	535	-2	0
MN908947	536	3	1
MN908947	536	-3	0
MN908947	537	1	0
MN908947	537	-1	-1
MN908947	538	2	0
MN908947	538	-2	0
MN908947	539	3	1
MN908947	539	-3	0
MN908947	540	1	0
MN908947	540	-1	-1
MN908947	541	2	0
MN908947	541	-2	0
MN908947	542	3	1
MN908947	542	-3	0
MN908947	543	1	0
MN908947	543	-1	-1
MN908947	544	2	0
MN908947	544	-2	0
MN908947	545	3	1
MN908947	545	-3	0
MN908947	546	1	0
MN908947	546	-1	-1
MN908947	547	2	0
MN908947	547	-2	0
MN908947	548	3	1
MN908947	548	-3	0
MN908947	549	1	0
MN908947	549	-1	-1
MN908947	550	2	0
MN908947	550	-2	0
MN908947	551	3	1
MN908947	551	-3	0
MN908947	552	1	0
MN908947	552	-1	-1
MN908947	553	2	0
MN908947	553	-2	0
MN908947	554	3	1
MN908947	554	-3	0
MN908947	555	1	0
MN908947	555	-1	-1
MN908947	556	2	0
MN908947	556	-2	0
MN908947	557	3	1
MN908947	557	-3	0
MN908947	558	1	0
MN908947	558	-1	-1
MN908947	559	2	0
MN908947	559	-2	0
MN908947	560	3	1
MN908947	560	-3	0
MN908947	561	1	0
MN908947	561	-1	-1
MN908947	562	2	0
MN908947	562	-2	0
MN908947	563	3	1
MN908947	563	-3	0
MN908947	564	1	0
MN908947	564	-1	-1
MN908947	565	2	0
MN908947	565	-2	0
MN908947	566	3	1
MN908947	566	-3	0
MN908947	567	1	0
MN908947	567	-1	-1
MN908947	568	2	0
MN908947	568	-2	0
MN908947	569	3	1
MN908947	569	-3	0
MN908947	570	1	0
MN908947	570	-1	-1
MN908947	571	2	0
MN908947	571	-2	0
MN908947	572	3	1
MN908947	572	-3	0
MN908947	573	1	0
MN908947	573	-1	-1
MN908947	574	2	0
MN908947	574	-2	0
MN908947	575	3	1
MN908947	575	-3	0
MN908947	576	1	0
MN908947	576	-1	-1
MN908947	577	2	0
MN908947	577	-2	0
MN908947	578	3	1
MN908947	578	-3	0
MN908947	579	1	0
MN908947	579	-1	-1
MN908947	580	2	0
MN908947	580	-2	0
MN908947	581	3	1
MN908947	581	-3	0
MN908947	582	1	0
MN908947	582	-1	-1
MN908947	583	2	0
MN908947	583	-2	0
MN908947	584	3	1
MN908947	584	-3	0
MN908947	585	1	0
MN908947	585	-1	-1
MN908947	586	2	0
MN908947	586	-2	0
MN908947	587	3	1
MN908947	587	-3	0
MN908947	588	1	0
MN908947	588	-1	-1
MN908947	589	2	0
MN908947	589	-2	0
MN908947	590	3	1
MN908947	590	-3	0
MN908947	591	1	0
MN908947	591	-1	-1
MN908947	592	2	0
MN908947	592	-2	0
MN908947	593	3	1
MN908947	593	-3	0
MN908947	594	1	0
MN908947	594	-1	-1
MN908947	595	2	0
MN908947	595	-2	0
MN908947	596	3	1
MN908947	596	-3	0
MN908947	597	1	0
MN908947	597	-1	-1
MN908947	598	2	0
MN908947	598	-2	0
MN908947	599	3	1
MN908947	599	-3	0
MN908947	600	1	0
MN908947	600	-1	-1
MN908947	601	2	0
MN908947	601	-2	0
MN908947	602	3	1
MN908947	602	-3	0
MN908947	603	1	0
MN908947	603	-1	-1
MN908947	604	2	0
MN908947	604	-2	0
MN908947	605	3	1
